I	I[ALFS]

chicharrón	chicharron[NRootES]

khuyayta	khuya[VRoot][=querer][^DB][--]y[NS][+Inf][^DB][--]ta[Cas][+Acc]

gustan	gusta[VRootES][^DB][--]n[VPers][+3.Sg.Subj]

.	.[$,]

Chaymi	Chay[PrnDem][^DB][--]mi[Amb][+DirE]

aunque	aunque[NRootES]

kaypi	kay[PrnDem][^DB][--]pi[Cas][+Loc]

manaña	mana[Part_Neg][^DB][--]ña[Amb][+Disc]

atikoqtinpas	ati[VRoot][=poder,vencer][^DB][--]ku[VDeriv][+Rflx_Int][^DB][--]qti[NS][+DS][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]pas[Amb][+Add]

,	,[$,]

khuchichataqa	khuchi[NRoot][=chancho][--]cha[NDeriv][+Dim][^DB][--]ta[Cas][+Acc][^DB][--]qa[Amb][+Top]

uywaytapuni	uywa[VRoot][=criar][^DB][--]y[NS][+Inf][^DB][--]ta[Cas][+Acc][^DB][--]puni[Amb][+Def]

munarani	muna[VRoot][=querer][^DB][--]ra[Tns][+NPst][--]ni[VPers][+1.Sg.Subj]

;	;[$,]

campon	campo[NRootES][^DB][--]n[Amb][+DirE]

nisitakun	nisita[VRootES][^DB][--]ku[VDeriv][+Rflx_Int][^DB][--]n[VPers][+3.Sg.Subj]

.	.[$,]

Pero	Pero[NRootES]

huk	huk[NRootNUM]

kutin	kuti[NRoot][=vez][^DB][--]n[NPers][+3.Sg.Poss]

sabado	sábado[NRootES]

baratillopi	baratillo[NRootES][^DB][--]pi[Cas][+Loc]

rantispa	ranti[VRoot][=comprar][^DB][--]spa[NS][+SS]

khuchichata	khuchi[NRoot][=chancho][--]cha[NDeriv][+Dim][^DB][--]ta[Cas][+Acc]

apamurani	apa[VRoot][=llevar][--]mu[VDeriv][+Cis_Trs][^DB][--]ra[Tns][+NPst][--]ni[VPers][+1.Sg.Subj]

,	,[$,]

cocina	cocina[NRootES]

punkullapin	punku[NRoot][=puerta][^DB][--]lla[Amb][+Lim_Aff][^DB][--]pi[Cas][+Loc][^DB][--]n[Amb][+DirE]

allin	allin[NRoot][=bueno]

watasqata	wata[VRoot][=atar][^DB][--]sqa[NS][+Perf][^DB][--]ta[Cas][+Acc]

hap'eqpas	hap'i[VRoot][=agarrar,entender][^DB][--]q[NS][+Ag][^DB][--]pas[Amb][+Add]

kani	ka[VRoot][=ser][^DB][--]ni[VPers][+1.Sg.Subj]

.	.[$,]

Hinaspan	Hina[VRoot][=hacer_así,ser_así][^DB][--]spa[NS][+SS][^DB][--]n[Amb][+DirE]

hatunchaña	hatun[NRoot][=grande][--]cha[NDeriv][+Dim][^DB][--]ña[Amb][+Disc]

kashaspa	ka[VRoot][=ser][^DB][--]sha[Asp][+Prog][^DB][--]spa[NS][+SS]

kay	kay[PrnDem]

arrecha	arrecha[NRootES]

khuchi	khuchi[NRoot][=chancho]

kacharirukuspa	kacha[VRoot][=mandar][--]ri[VDeriv][+Inch][--]ru[VDeriv][+Rptn][^DB][--]ku[VDeriv][+Rflx_Int][^DB][--]spa[NS][+SS]

huk	huk[NRootNUM]

autowan	auto[NRootES][^DB][--]wan[Cas][+Con_Inst]

saruchikun	saru[VRoot][=pisar,oprimir][^DB][--]chi[VDeriv][+Caus][^DB][--]ku[VDeriv][+Rflx_Int][^DB][--]n[VPers][+3.Sg.Subj]

.	.[$,]

Chay	Chay[PrnDem]

pacha	pacha[NRoot][=mundo,tiempo]

Gregorio	Gregorio[NP]

chay	chay[PrnDem]

picanteriaman	picanteria[NRootES][^DB][--]man[Cas][+Dat_Ill]

invitawashaqtin	invita[VRootES][^DB][--]wa[VPers][+1.Obj][^DB][--]sha[Asp][+Prog][^DB][--]qti[NS][+DS][^DB][--]n[NPers][+3.Sg.Poss]

,	,[$,]

mikhuruspa	mikhu[VRoot][=comer][--]ru[VDeriv][+Rptn][^DB][--]spa[NS][+SS]

tomachiwan	toma[VRootES][^DB][--]chi[VDeriv][+Caus][^DB][--]wa[VPers][+1.Obj][^DB][--]n[VPers][+3.Sg.Subj]

iskay	iskay[NRootNUM]

kinsa	kinsa[NRootNUM]

caporal	caporal[NRootES]

frutilladata	frutillada[NRootES][^DB][--]ta[Cas][+Acc]

;	;[$,]

chaymantataq	chay[PrnDem][^DB][--]manta[Cas][+Abl][^DB][--]taq[Amb][+Con_Intr]

aqhata	aqha[NRoot][=chicha][^DB][--]ta[Cas][+Acc]

cervezayoqta	cerveza[NRootES][^DB][--]yuq[NDeriv][+Poss][^DB][--]ta[Cas][+Acc]

.	.[$,]

Noqataqmi	Nuqa[PrnPers+1.Sg][^DB][--]taq[Amb][+Con_Intr][^DB][--]mi[Amb][+DirE]

chayllawan	chay[PrnDem][^DB][--]lla[Amb][+Lim_Aff][^DB][--]wan[Cas][+Con_Inst]

t'ili	t'ili[NRoot][=embriagado]

machasqa	macha[VRoot][=emborracharse][^DB][--]sqa[NS][+Perf]

karapuni	ka[VRoot][=ser][--]ra[VDeriv][+Rptn][--]pu[VDeriv][+Rgr_Iprs][^DB][--]ni[VPers][+1.Sg.Subj]

.	.[$,]

Noqaqa	Nuqa[PrnPers+1.Sg][^DB][--]qa[Amb][+Top]

manan	mana[Part_Neg][^DB][--]n[Amb][+DirE]

t'iliyay	t'ili[NRoot][=embriagado][--]ya[VS][+Trs][^DB][--]y[NS][+Inf]

machaq	macha[VRoot][=emborracharse][^DB][--]q[NS][+Ag]

warmichu	warmi[NRoot][=mujer][^DB][--]chu[Amb][+Intr_Neg]

kani	ka[VRoot][=ser][^DB][--]ni[VPers][+1.Sg.Subj]

,	,[$,]

qharinwan	qhari[NRoot][=macho][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]wan[Cas][+Con_Inst]

ukyaq	ukya[VRoot][=tomar][^DB][--]q[NS][+Ag]

mana	mana[Part_Neg]

atinakama	ati[VRoot][=poder,vencer][^DB][--]na[NS][+Obl][^DB][--]kama[Cas][+Term]

,	,[$,]

chaymantataq	chay[PrnDem][^DB][--]manta[Cas][+Abl][^DB][--]taq[Amb][+Con_Intr]

maqanakoq	maqa[VRoot][=pegar][--]na[VDeriv][+Rzpr][^DB][--]ku[VDeriv][+Rflx_Int][^DB][--]q[NS][+Ag]

.	.[$,]

Sapa	Sapa[NRoot][=cada]

tomaqtiymi	toma[VRootES][^DB][--]qti[NS][+DS][^DB][--]y[NPers][+1.Sg.Poss][^DB][--]mi[Amb][+DirE]

cuerpo	cuerpo[SP]

wañusqaq	wañu[VRoot][=morir][^DB][--]sqa[NS][+Perf][^DB][--]q[Cas][+Gen]

hina	hina[Part_Sim]

churakun	chura[VRoot][=poner][^DB][--]ku[VDeriv][+Rflx_Int][^DB][--]n[VPers][+3.Sg.Subj]

,	,[$,]

noqataqmi	nuqa[PrnPers+1.Sg][^DB][--]taq[Amb][+Con_Intr][^DB][--]mi[Amb][+DirE]

montoyusqa	muntu[VRootES][--]yu[VDeriv][+Aff][^DB][--]sqa[NS][+Perf]

rumipas	rumi[NRoot][=piedra][^DB][--]pas[Amb][+Add]

kayman	ka[VRoot][=ser][^DB][--]yman[VPers][+1.Sg.Subj.Pot]

hina	hina[Part_Sim]

kani	ka[VRoot][=ser][^DB][--]ni[VPers][+1.Sg.Subj]

.	.[$,]

Chhaynacha	Chhayna[PrnDem][--]cha[NDeriv][+Dim]

seguramente	seguramente[SP]

chay	chay[PrnDem]

pacha	pacha[NRoot][=mundo,tiempo]

kani	ka[VRoot][=ser][^DB][--]ni[VPers][+1.Sg.Subj]

,	,[$,]

chaymi	chay[PrnDem][^DB][--]mi[Amb][+DirE]

chay	chay[PrnDem]

tuta	tuta[NRoot][=noche]

derecho	derecho[NRootES]

wasinta	wasi[NRoot][=casa][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]ta[Cas][+Acc]

q'epiwaran	q'ipi[VRoot][=llevar][^DB][--]wa[VPers][+1.Obj][^DB][--]ra[Tns][+NPst][--]n[VPers][+3.Sg.Subj]

,	,[$,]

paypa	pay[PrnPers+3.Sg][^DB][--]pa[Cas][+Gen]

ladonpi	lado[NRootES][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]pi[Cas][+Loc]

paqarisnintinkaman	paqaris[NRoot][=mañana][^DB][--]nintin[Cas][+Iclsv][^DB][--]kama[Cas][+Term][^DB][--]n[Amb][+DirE]

puñunaypaq	puñu[VRoot][=dormir][^DB][--]na[NS][+Obl][^DB][--]y[NPers][+1.Sg.Poss][^DB][--]paq[Cas][+Ben]

.	.[$,]

Ankhaynatan	Ankhaynatan	+?

kay	kay[PrnDem]

qhariypa	qhari[NRoot][=macho][^DB][--]y[NPers][+1.Sg.Poss][^DB][--]pa[Cas][+Gen]

wasinta	wasi[NRoot][=casa][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]ta[Cas][+Acc]

primera	primera[NRootES]

vez	vez[NRootES]

saruyurani	saru[VRoot][=pisar,oprimir][--]yu[VDeriv][+Aff][^DB][--]ra[Tns][+NPst][--]ni[VPers][+1.Sg.Subj]

.	.[$,]

Chaymantaqa	Chay[PrnDem][^DB][--]manta[Cas][+Abl][^DB][--]qa[Amb][+Top]

señora	señora[NRootES]

Mercedespa	Mercedes[NP][^DB][--]pa[Cas][+Gen]

picanterianta	picanteria[NRootES][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]ta[Cas][+Acc]

riniraqmi	ri[VRoot][=ir][^DB][--]ni[VPers][+1.Sg.Subj][^DB][--]raq[Amb][+Cont][^DB][--]mi[Amb][+DirE]

,	,[$,]

pero	pero[NRootES]

pisi	pisi[NRoot][=poco]

p'unchaykunallaña	p'unchay[NRoot][=día][--]kuna[Num][+Pl][^DB][--]lla[Amb][+Lim_Aff][^DB][--]ña[Amb][+Disc]

porque	porque[NRootES]

Gregorio	Gregorio[NP]

niwaran	ni[VRoot][=decir][^DB][--]wa[VPers][+1.Obj][^DB][--]ra[Tns][+NPst][--]n[VPers][+3.Sg.Subj]

:	:[$,]

-	-[$-]

Licenciata	Licencia[NRootES][^DB][--]ta[Cas][+Acc]

mañakamuy	maña[VRoot][=pedir][^DB][--]ka[VDeriv][+Rflx_Int][--]mu[VDeriv][+Cis_Trs][^DB][--]y[VPers][+2.Sg.Subj.Imp]

hinaspa	hina[VRoot][=hacer_así,ser_así][^DB][--]spa[NS][+SS]

hanpuy	hampu[VRoot][=regresar][^DB][--]y[VPers][+2.Sg.Subj.Imp]

,	,[$,]

kaypin	kay[PrnDem][^DB][--]pi[Cas][+Loc][^DB][--]n[Amb][+DirE]

tiyasunchis	tiya[VRoot][=haber,estar,habitar,estar_sentado][^DB][--]sunchis[VPers][+1.Pl.Incl.Subj.Fut]

,	,[$,]

chaypaqmi	chay[PrnDem][^DB][--]paq[Cas][+Ben][^DB][--]mi[Amb][+DirE]

ña	ña[Part_Disc]

warmiyña	warmi[NRoot][=mujer][^DB][--]y[NPers][+1.Sg.Poss][^DB][--]ña[Amb][+Disc]

kanki	ka[VRoot][=ser][^DB][--]nki[VPers][+2.Sg.Subj]

.	.[$,]

A	A[SP]

ver	ver	+?

,	,[$,]

noqataq	nuqa[PrnPers+1.Sg][^DB][--]taq[Amb][+Con_Intr]

ima	ima[NRoot][=cosa]

niwasqanta	ni[VRoot][=decir][^DB][--]wa[VPers][+1.Obj][^DB][--]sqa[NS][+Perf][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]ta[Cas][+Acc]

ruwaq	ruwa[VRoot][=hacer][^DB][--]q[NS][+Ag]

kani	ka[VRoot][=ser][^DB][--]ni[VPers][+1.Sg.Subj]

zonza	zonza[NRootES]

hina	hina[Part_Sim]

,	,[$,]

kay	kay[PrnDem]

qhariman	qhari[NRoot][=macho][^DB][--]man[Cas][+Dat_Ill]

!	![$,]

Chayqa	Chay[PrnDem][^DB][--]qa[Amb][+Top]

chhayna	chhayna[PrnDem]

licenciata	licencia[NRootES][^DB][--]ta[Cas][+Acc]

mañakamullanitaq	maña[VRoot][=pedir][^DB][--]ka[VDeriv][+Rflx_Int][--]mu[VDeriv][+Cis_Trs][^DB][--]lla[Amb][+Lim_Aff][^DB][--]ni[VPers][+1.Sg.Subj][^DB][--]taq[Amb][+Con_Intr]

kinsa	kinsa[NRootNUM]

p'unchaypaq	p'unchay[NRoot][=día][^DB][--]paq[Cas][+Ben]

.	.[$,]

Chay	Chay[PrnDem]

kasqan	ka[VRoot][=ser][^DB][--]sqa[NS][+Perf][^DB][--]n[NPers][+3.Sg.Poss]

p'unchaychu	p'unchay[NRoot][=día][^DB][--]chu[Amb][+Intr_Neg]

hina	hina[Part_Sim]

,	,[$,]

waway	wawa[NRoot][=niño][^DB][--]y[NPers][+1.Sg.Poss]

aysarisqa	aysa[VRoot][=llevar_en_la_mano,pesar][--]ri[VDeriv][+Inch][^DB][--]sqa[NS][+Perf]

hanpuni	hampu[VRoot][=regresar][^DB][--]ni[VPers][+1.Sg.Subj]

-	-[$-]

chay	chay[PrnDem]

pachataq	pacha[NRoot][=mundo,tiempo][^DB][--]taq[Amb][+Con_Intr]

ña	ña[Part_Disc]

hatunchaña	hatun[NRoot][=grande][--]cha[NDeriv][+Dim][^DB][--]ña[Amb][+Disc]

karan	ka[VRoot][=ser][^DB][--]ra[Tns][+NPst][--]n[VPers][+3.Sg.Subj]

-	-[$-]

,	,[$,]

puñunayta	puñu[VRoot][=dormir][^DB][--]na[NS][+Obl][^DB][--]y[NPers][+1.Sg.Poss][^DB][--]ta[Cas][+Acc]

ima	ima[Part_Conec]

,	,[$,]

chayllaytaqmi	chay[PrnDem][^DB][--]lla[Amb][+Lim_Aff][^DB][--]y[NPers][+1.Sg.Poss][^DB][--]taq[Amb][+Con_Intr][^DB][--]mi[Amb][+DirE]

karanpas	ka[VRoot][=ser][^DB][--]ra[Tns][+NPst][--]n[VPers][+3.Sg.Subj][^DB][--]pas[Amb][+Add]

:	:[$,]

puñunay	puñu[VRoot][=dormir][^DB][--]na[NS][+Obl][^DB][--]y[NPers][+1.Sg.Poss]

wawaypuwan	wawa[NRoot][=niño][^DB][--]y[NPers][+1.Sg.Poss][^DB][--]puwan[Cas][+Soc]

.	.[$,]

Imapaqtaq	Ima[NRoot][=cosa][^DB][--]paq[Cas][+Ben][^DB][--]taq[Amb][+Con_Intr]

,	,[$,]

Taytacha	Tayta[NRoot][=padre][--]cha[NDeriv][+Dim]

renegachiychá	renega[VRootES][^DB][--]chi[VDeriv][+Caus][^DB][--]y[NS][+Inf][^DB][--]chá[Amb][+Asmp_Emph]

kanman	ka[VRoot][=ser][^DB][--]n[VPers][+3.Sg.Subj][--]man[Mod][+Pot]

,	,[$,]

falsopi	falso[NRootES][^DB][--]pi[Cas][+Loc]

rimaqtiyqa	rima[VRoot][=hablar][^DB][--]qti[NS][+DS][^DB][--]y[NPers][+1.Sg.Poss][^DB][--]qa[Amb][+Top]

.	.[$,]

Manan	Mana[Part_Neg][^DB][--]n[Amb][+DirE]

chayqa	chay[PrnDem][^DB][--]qa[Amb][+Top]

ruwakuyta	ruwa[VRoot][=hacer][^DB][--]ku[VDeriv][+Rflx_Int][^DB][--]y[NS][+Inf][^DB][--]ta[Cas][+Acc]

atikunmanchu	ati[VRoot][=poder,vencer][^DB][--]ku[VDeriv][+Rflx_Int][^DB][--]n[VPers][+3.Sg.Subj][--]man[Mod][+Pot][^DB][--]chu[Amb][+Intr_Neg]

.	.[$,]

Imapaqtaq	Ima[NRoot][=cosa][^DB][--]paq[Cas][+Ben][^DB][--]taq[Amb][+Con_Intr]

Gregorio	Gregorio[NP]

askha	askha[NRoot][=mucho]

kutiña	kuti[NRoot][=vez][^DB][--]ña[Amb][+Disc]

maqawanku	maqa[VRoot][=pegar][^DB][--]wanku[VPers][+3.Subj_1.Pl.Excl.Obj]

noqata	nuqa[PrnPers+1.Sg][^DB][--]ta[Cas][+Acc]

ususiytawan	ususi[NRoot][=hija][^DB][--]y[NPers][+1.Sg.Poss][^DB][--]ta[Cas][+Acc][^DB][--]wan[Cas][+Con_Inst]

hasta	hasta[NRootES]

fustanllapi	fustanllapi	+?

puñunamanta	puñu[VRoot][=dormir][^DB][--]na[NS][+Obl][^DB][--]manta[Cas][+Abl]

para	para[NRoot][=lluvia]

tutantinman	tuta[NRoot][=noche][^DB][--]ntin[Cas][+Iclsv][^DB][--]man[Cas][+Dat_Ill]

qarqowaspanku	qarqu[VRoot][=expulsar,despedir,desalojar][^DB][--]wa[VPers][+1.Obj][^DB][--]spa[NS][+SS][^DB][--]nku[NPers][+3.Pl.Poss]

,	,[$,]

chaywanpas	chay[PrnDem][^DB][--]wan[Cas][+Con_Inst][^DB][--]pas[Amb][+Add]

paywanpas	pay[PrnPers+3.Sg][^DB][--]wan[Cas][+Con_Inst][^DB][--]pas[Amb][+Add]

allillanmi	alli[NRoot][=bueno][^DB][--]lla[Amb][+Lim_Aff][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]mi[Amb][+DirE]

kashayku	ka[VRoot][=ser][^DB][--]sha[Asp][+Prog][--]yku[VPers][+1.Pl.Excl.Subj]

,	,[$,]

aunque	aunque[NRootES]

maqanakuspaña	maqa[VRoot][=pegar][--]na[VDeriv][+Rzpr][^DB][--]ku[VDeriv][+Rflx_Int][^DB][--]spa[NS][+SS][^DB][--]ña[Amb][+Disc]

,	,[$,]

k'aminakuspaña	k'ami[VRoot][=injuriar][--]na[VDeriv][+Rzpr][^DB][--]ku[VDeriv][+Rflx_Int][^DB][--]spa[NS][+SS][^DB][--]ña[Amb][+Disc]

.	.[$,]

Ususiytapas	Ususi[NRoot][=hija][^DB][--]y[NPers][+1.Sg.Poss][^DB][--]ta[Cas][+Acc][^DB][--]pas[Amb][+Add]

qallariy	qalla[VRoot][=empezar][--]ri[VDeriv][+Inch][^DB][--]y[NS][+Inf]

p'unchaymanta	p'unchay[NRoot][=día][^DB][--]manta[Cas][+Abl]

pachan	pacha[NRoot][=mundo,tiempo][^DB][--]n[Amb][+DirE]

siempre	siempre[NRootES]

preocupacionwanpuni	preocupacion[NRootES][^DB][--]wan[Cas][+Con_Inst][^DB][--]puni[Amb][+Def]

qhawan	qhawa[VRoot][=mirar][^DB][--]n[VPers][+3.Sg.Subj]

.	.[$,]

Kunanpunipas	Kunan[NRoot][=ahora][^DB][--]puni[Amb][+Def][^DB][--]pas[Amb][+Add]

"	"[$,]

waway	wawa[NRoot][=niño][^DB][--]y[NPers][+1.Sg.Poss]

"	"[$,]

ninmi	ni[VRoot][=decir][^DB][--]n[VPers][+3.Sg.Subj][^DB][--]mi[Amb][+DirE]

.	.[$,]

Llank'asqanpas	Llank'a[VRoot][=trabajar][^DB][--]sqa[NS][+Perf][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]pas[Amb][+Add]

siempre	siempre[NRootES]

noqaykupaqpunin	nuqayku[PrnPers+1.Pl.Excl][^DB][--]paq[Cas][+Ben][^DB][--]puni[Amb][+Def][^DB][--]n[Amb][+DirE]

karan	ka[VRoot][=ser][^DB][--]ra[Tns][+NPst][--]n[VPers][+3.Sg.Subj]

.	.[$,]

Tiyayta	Tiya[VRoot][=haber,estar,habitar,estar_sentado][^DB][--]y[NS][+Inf][^DB][--]ta[Cas][+Acc]

qallarishaqtiykupas	qalla[VRoot][=empezar][--]ri[VDeriv][+Inch][^DB][--]sha[Asp][+Prog][^DB][--]qti[NS][+DS][^DB][--]yku[NPers][+1.Pl.Excl.Poss][^DB][--]pas[Amb][+Add]

ña	ña[Part_Disc]

payqa	pay[PrnPers+3.Sg][^DB][--]qa[Amb][+Top]

fabrica	fábrica[NRootES]

Waskarpiña	Waskar[NP][^DB][--]pi[Cas][+Loc][^DB][--]ña[Amb][+Disc]

llank'asqa	llank'a[VRoot][=trabajar][^DB][--]sqa[NS][+Perf]

barredormanta	barredor[NRootES][^DB][--]manta[Cas][+Abl]

.	.[$,]

Chaymi	Chay[PrnDem][^DB][--]mi[Amb][+DirE]

maynin	may[PrnInterr][=dónde][^DB][--]nin[NPers][+3.Sg.Poss]

kuti	kuti[NRoot][=vez]

alabancioso	alabancioso[NRootES]

hina	hina[Part_Sim]

neq	ni[VRoot][=decir][^DB][--]q[NS][+Ag]

:	:[$,]

-	-[$-]

Carajo	Carajo[NRootES]

,	,[$,]

waskarinu	waskarinu	+?

noqaqa	nuqa[PrnPers+1.Sg][^DB][--]qa[Amb][+Top]

kani	ka[VRoot][=ser][^DB][--]ni[VPers][+1.Sg.Subj]

,	,[$,]

mediota	medio[NRootES][^DB][--]ta[Cas][+Acc]

ganaspapas	ganas[NRootES][^DB][--]pa[Cas][+Gen][^DB][--]pas[Amb][+Add]

,	,[$,]

pero	pero[NRootES]

seguro	seguro[SP]

.	.[$,]

Kay	Kay[PrnDem]

fabricapi	fábrica[NRootES][^DB][--]pi[Cas][+Loc]

llank'arinraqmi	llank'a[VRoot][=trabajar][--]ri[VDeriv][+Inch][^DB][--]n[VPers][+3.Sg.Subj][^DB][--]raq[Amb][+Cont][^DB][--]mi[Amb][+DirE]

huk	huk[NRootNUM]

watakuna	wata[NRoot][=año][--]kuna[Num][+Pl]

chayllaman	chay[PrnDem][^DB][--]lla[Amb][+Lim_Aff][^DB][--]man[Cas][+Dat_Ill]

rimay	rima[VRoot][=hablar][^DB][--]y[NS][+Inf]

qallarin	qalla[VRoot][=empezar][--]ri[VDeriv][+Inch][^DB][--]n[VPers][+3.Sg.Subj]

fabrican	fábrica[NRootES][^DB][--]n[Amb][+DirE]

wisq'akunqa	wisq'a[VRoot][=cerrar][^DB][--]ku[VDeriv][+Rflx_Int][^DB][--]nqa[VPers][+3.Sg.Subj.Fut]

nispa	ni[VRoot][=decir][^DB][--]spa[NS][+SS]

.	.[$,]

Chhayna	Chhayna[PrnDem]

rimashasqankupin	rima[VRoot][=hablar][^DB][--]sha[Asp][+Prog][^DB][--]sqa[NS][+Perf][^DB][--]nku[NPers][+3.Pl.Poss][^DB][--]pi[Cas][+Loc][^DB][--]n[Amb][+DirE]

,	,[$,]

fabrican	fábrica[NRootES][^DB][--]n[Amb][+DirE]

wisq'apunqa	wisq'a[VRoot][=cerrar][--]pu[VDeriv][+Rgr_Iprs][^DB][--]nqa[VPers][+3.Sg.Subj.Fut]

neqtinku	ni[VRoot][=decir][^DB][--]qti[NS][+DS][^DB][--]nku[NPers][+3.Pl.Poss]

Gregorio	Gregorio[NP]

preocupasqa	preocupa[VRootES][^DB][--]sqa[NS][+Perf]

churakun	chura[VRoot][=poner][^DB][--]ku[VDeriv][+Rflx_Int][^DB][--]n[VPers][+3.Sg.Subj]

,	,[$,]

chayllaman	chay[PrnDem][^DB][--]lla[Amb][+Lim_Aff][^DB][--]man[Cas][+Dat_Ill]

wisq'arapunkupuni	wisq'a[VRoot][=cerrar][--]ra[VDeriv][+Rptn][--]pu[VDeriv][+Rgr_Iprs][^DB][--]nku[VPers][+3.Pl.Subj][^DB][--]puni[Amb][+Def]

.	.[$,]

Fabricata	Fábrica[NRootES][^DB][--]ta[Cas][+Acc]

wisq'apoqtinku	wisq'a[VRoot][=cerrar][--]pu[VDeriv][+Rgr_Iprs][^DB][--]qti[NS][+DS][^DB][--]nku[NPers][+3.Pl.Poss]

noqaykoqa	nuqayku[PrnPers+1.Pl.Excl][^DB][--]qa[Amb][+Top]

Puente	Puente[NRootES]

Rosariollapi	Rosario[NP][^DB][--]lla[Amb][+Lim_Aff][^DB][--]pi[Cas][+Loc]

tiyasharayku	tiya[VRoot][=haber,estar,habitar,estar_sentado][^DB][--]sha[Asp][+Prog][--]ra[Tns][+NPst][--]yku[VPers][+1.Pl.Excl.Subj]

.	.[$,]

Fabrica	Fábrica[NRootES]

llank'ashaqtintaqmi	llank'a[VRoot][=trabajar][^DB][--]sha[Asp][+Prog][^DB][--]qti[NS][+DS][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]taq[Amb][+Con_Intr][^DB][--]mi[Amb][+DirE]

noqaqa	nuqa[PrnPers+1.Sg][^DB][--]qa[Amb][+Top]

wasillapi	wasi[NRoot][=casa][^DB][--]lla[Amb][+Lim_Aff][^DB][--]pi[Cas][+Loc]

kaq	ka[VRoot][=ser][^DB][--]q[NS][+Ag]

kani	ka[VRoot][=ser][^DB][--]ni[VPers][+1.Sg.Subj]

wayk'uspa	wayk'u[VRoot][=cocinar][^DB][--]spa[NS][+SS]

,	,[$,]

pero	pero[NRootES]

aqha	aqha[NRoot][=chicha]

wasitaqa	wasi[NRoot][=casa][^DB][--]ta[Cas][+Acc][^DB][--]qa[Amb][+Top]

señora	señora[NRootES]

Mercedeq	Mercedeq	+?

yanapaq	yanapa[VRoot][=ayudar][^DB][--]q[NS][+Ag]

reqpuni	ri[VRoot][=ir][^DB][--]q[NS][+Ag][^DB][--]puni[Amb][+Def]

kani	ka[VRoot][=ser][^DB][--]ni[VPers][+1.Sg.Subj]

sut'uchin	sut'u[VRoot][=gotear][^DB][--]chi[VDeriv][+Caus][^DB][--]n[VPers][+3.Sg.Subj]

qowananrayku	qu[VRoot][=dar][^DB][--]wa[VPers][+1.Obj][^DB][--]na[NS][+Obl][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]rayku[Cas][+Kaus]

,	,[$,]

wallpaykunapaq	wallpa[NRoot][=gallina][^DB][--]y[NPers][+1.Sg.Poss][--]kuna[Num][+Pl][^DB][--]paq[Cas][+Ben]

qowiykunapaq	quwi[NRoot][=cuy][^DB][--]y[NPers][+1.Sg.Poss][--]kuna[Num][+Pl][^DB][--]paq[Cas][+Ben]

,	,[$,]

uywaytataqmi	uywa[VRoot][=criar][^DB][--]y[NS][+Inf][^DB][--]ta[Cas][+Acc][^DB][--]taq[Amb][+Con_Intr][^DB][--]mi[Amb][+DirE]

qallarirani	qalla[VRoot][=empezar][--]ri[VDeriv][+Inch][^DB][--]ra[Tns][+NPst][--]ni[VPers][+1.Sg.Subj]

.	.[$,]

Gregoriowan	Gregorio[NP][^DB][--]wan[Cas][+Con_Inst]

tiyasqay	tiya[VRoot][=haber,estar,habitar,estar_sentado][^DB][--]sqa[NS][+Perf][^DB][--]y[NPers][+1.Sg.Poss]

p'unchaymanta	p'unchay[NRoot][=día][^DB][--]manta[Cas][+Abl]

pachan	pacha[NRoot][=mundo,tiempo][^DB][--]n[Amb][+DirE]

qowiykuna	quwi[NRoot][=cuy][^DB][--]y[NPers][+1.Sg.Poss][--]kuna[Num][+Pl]

wallpaykunaqa	wallpa[NRoot][=gallina][^DB][--]y[NPers][+1.Sg.Poss][--]kuna[Num][+Pl][^DB][--]qa[Amb][+Top]

kanpuni	ka[VRoot][=ser][^DB][--]n[VPers][+3.Sg.Subj][^DB][--]puni[Amb][+Def]

.	.[$,]

Pay	Pay[PrnPers+3.Sg]

fabricata	fábrica[NRootES][^DB][--]ta[Cas][+Acc]

saqeqtintaq	saqi[VRoot][=dejar][^DB][--]qti[NS][+DS][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]taq[Amb][+Con_Intr]

,	,[$,]

maynillanpi	maynillanpi	+?

ima	ima[NRoot][=cosa]

